x	y	z	number	x_step	y_step	z_step	vol	k	phi	n	alpha (1/P)	Sr	Water_source	Q (vol/t)	Gas_source	F (mass/t)	alpha_L	P	S	X_A	X_B	C_A	C_B	C_C
0	0	0.54375	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.53125	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.51875	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.50625	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.49375	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.48125	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.46875	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.45625	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.44375	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.43125	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.41875	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.40625	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.39375	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.38125	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.36875	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.35625	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.34375	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.33125	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.31875	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.30625	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.29375	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.28125	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.26875	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.25625	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.24375	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.23125	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.21875	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.20625	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
